ID,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
273,Dodge,SUV: Small,2.4,4,A4,X,12.7,9.2,11.1,261
274,Dodge,SUV: Small,3.6,6,A6,X,14.2,9.5,12.1,284
275,Dodge,SUV: Small,3.6,6,A6,E,19.1,13.2,16.4,274
276,Dodge,SUV: Small,3.6,6,A6,X,14.5,10,12.4,292
277,FIAT,Two-seater,1.4,4,A6,X,9.3,6.5,8,187
278,FIAT,Two-seater,1.4,4,M6,X,9,6.7,7.9,185
279,FIAT,Minicompact,1.4,4,A6,X,9.7,7.4,8.7,203
280,FIAT,Minicompact,1.4,4,M5,X,8.5,7.1,7.9,186
281,FIAT,Station wagon: Small,1.4,4,A6,X,10.7,7.9,9.4,221
282,FIAT,SUV: Small,1.3,4,A9,X,10,7.9,9.1,213
283,Ford,SUV: Small,1,3,AS6,X,8.6,8.1,8.4,196
284,Ford,SUV: Small,2,4,AS6,X,10.2,8,9.3,218
285,Ford,SUV: Small,2,4,AS8,X,10.9,8,9.6,224
286,Ford,SUV: Small,2,4,AS8,X,11.4,8.3,10,233
287,Ford,SUV: Small,2.7,6,AS8,X,12.6,9.2,11,259
288,Ford,SUV: Small,1.5,4,AS6,X,10.2,7.8,9.1,214
289,Ford,SUV: Small,2.5,4,AS6,X,11,8,9.6,226
290,Ford,SUV: Small,2.5,4,AS6,E,15,10.8,13.1,218
291,Ford,SUV: Small,1.5,4,AS6,X,11.2,8.4,9.9,232
292,Ford,SUV: Small,2,4,AS6,X,11.5,8.7,10.2,239
293,Ford,SUV: Standard,3.5,6,AS10,X,14.1,10.6,12.5,293
294,Ford,SUV: Standard,3.5,6,AS10,X,14.7,11.2,13.1,307
295,Ford,SUV: Standard,2.3,4,AS6,X,13.1,9.2,11.4,267
296,Ford,SUV: Standard,3.5,6,AS6,X,15.2,10.9,13.2,311
297,Ford,SUV: Standard,3.5,6,AS6,X,14.5,10.6,12.7,299
298,Ford,SUV: Standard,3.5,6,AS6,E,19.8,14.3,17.3,288
299,Ford,Pickup truck: Standard,2.7,6,AS10,X,12,9,10.6,249
300,Ford,Pickup truck: Standard,2.7,6,AS10,X,12.4,9.4,11.1,260
301,Ford,Pickup truck: Standard,2.7,6,AS10,X,12.4,9.4,11.1,260
302,Ford,Pickup truck: Standard,3,6,AS10,D,10.8,8,9.5,256
303,Ford,Pickup truck: Standard,3,6,AS10,D,10.8,8.4,9.7,260
304,Ford,Pickup truck: Standard,3.3,6,AS6,X,12.2,9.3,10.9,256
305,Ford,Pickup truck: Standard,3.3,6,AS6,E,16.7,12.6,14.9,247
306,Ford,Pickup truck: Standard,3.3,6,AS6,X,12.4,9.8,11.2,263
307,Ford,Pickup truck: Standard,3.3,6,AS6,E,16.7,12.6,14.9,247
308,Ford,Pickup truck: Standard,3.5,6,AS10,X,13.5,10.1,12,281
309,Ford,Pickup truck: Standard,3.5,6,AS10,X,13.8,10.7,12.4,291
310,Ford,Pickup truck: Standard,3.5,6,AS10,X,13.9,11.2,12.7,298
311,Ford,Pickup truck: Standard,5,8,AS10,X,13.9,10.2,12.2,287
312,Ford,Pickup truck: Standard,5,8,AS10,E,20.3,14,17.4,290
313,Ford,Pickup truck: Standard,5,8,AS10,X,14.7,11.2,13.1,308
314,Ford,Pickup truck: Standard,5,8,AS10,E,20.3,14,17.5,290
315,Ford,Pickup truck: Standard,5,8,AS10,X,15.6,11.8,13.9,326
316,Ford,Pickup truck: Standard,5,8,AS10,E,20.4,14,17.5,291
317,Ford,Pickup truck: Standard,2.7,6,AS10,X,12.7,9.8,11.4,268
318,Ford,Pickup truck: Standard,2.7,6,AS10,X,13.1,10.2,11.8,277
319,Ford,Pickup truck: Standard,2.7,6,AS10,X,13.1,10.2,11.8,277
320,Ford,Pickup truck: Standard,3,6,AS10,D,11.8,9.3,10.7,287
321,Ford,Pickup truck: Standard,3,6,AS10,D,11.8,9.3,10.7,287
322,Ford,Pickup truck: Standard,3,6,AS10,D,11.2,8.3,9.9,266
323,Ford,Pickup truck: Standard,3.3,6,AS6,X,12.8,10.2,11.6,273
324,Ford,Pickup truck: Standard,3.3,6,AS6,E,17.5,13.8,15.8,263
325,Ford,Pickup truck: Standard,3.3,6,AS6,X,13.8,10.7,12.4,291
